Sector,Scheme Name,Details,Benefits,Eligibility,Application Process,Documents Required,Sources & References
"Agriculture,Rural & Environment",Chief Minister Floriculture Mission,"- Assam's floriculture is mostly a hobby despite some growth from initiatives like HMNEH.
- The state's floriculture area is less than 1% of the country's total, with West Bengal dominating the market.
- Annual inflow from West Bengal is Rs. 7-8 crores.","- Government provides planting materials, shade net, and a garden tool kit.
- Beneficiaries erect bamboo/steel structure, overseen by departmental officers.
- Bed preparation, fertilizer costs borne by beneficiaries.
- 2015-16 focus: Gerbera cultivation under shade net, 200 sqm. per unit.","-Priority for women SHGs and unemployed youths.
- Requires own or long-term leased land.
- Training on modern cultivation techniques by departmental officers.
- One beneficiary limited to a 200 sqm unit.
- Ensures SC and ST farmer representation.
","1.The Secretary to the Govt. of Assam Agriculture Department, Dispur Guwahati-6.                                2. Director of Horticulture and FP Assam, Khanapara, Guwahati-22.

","- Required for TC Gerbera cultivation in agro shade net house (200 sqm):
  - Aadhaar Card
  - Voter Card
  - Valid Bank Account",https://dirhorti.assam.gov.in/sites/default/files/swf_utility_folder/departments/horticulture_medhassu_in_oid_5/menu/schemes/3.1.pdf
"Agriculture,Rural & Environment",Livestock Health and Diseases Control,"- Eradicate PPR in sheep and goats by 2030 through mass vaccination.
- Control Classical Swine Fever (CSF) by vaccinating the entire pig population.
- Offer veterinary services via Mobile Veterinary Units for farmers.
- Support states in controlling prevalent livestock and poultry diseases through ASCAD.",1.Improved animal health and productivity                                                                        2.Reduced economic losses                   3.Improved food security                         4.Increased employment opportunities                                                 5. Improved rural livelihood,"- Eligibility: Genuine farmer or livestock owner.
- Requires valid livestock ownership document.
- Livestock must be utilized for commercial purposes.","- Contact local veterinary office or state Department of Animal Husbandry.
- Complete the application form with necessary details.
- Attach all required documents and submit",A copy of your Aadhaar card or other identity proof.A copy of your livestock ownership documents.,https://dahd.nic.in/sites/default/filess/2853-LHDC-10-08-2022-F-E_.pdf
"Agriculture,Rural & Environment",Financial Assistance for Setting up Crab Culture Unit,"Financial assistance of 25% of the actual cost, limited to ₹1,50,000 per hectare is provided to eligible fishermen for setting up crab culture unit. Only Fish Farmer/ Individual/ Registered Self Help Group/ Societies, interested in the setting up of the Crab Farming Unit in the State of Goa can apply to this scheme","1.Financial assistance of 25% of the actual cost, limited to ₹1,50,000 per hectare.                                                                            2.The assistance can be availed for up to 2 hectares of land.
3.50% of the actual cost, limited to ₹75,000 per hectare.
","-  Fish Farmer, Individual, Registered Self Help Group, or Societies interested in Crab Farming in Goa as resident for last 15 years
- Mandatory training on Crab Farming from Fisheries Department/MPEDA/ICAR","- Complete all mandatory fields and Attach a signed passport-sized photograph and necessary document copies
- Submit the documents to the Department of Fisheries at Dayanand Bandodkar Marg, Patto Colony, Panaji, Goa - 403 521, or at BDO Office/Sub-Offices of the Department of Fisheries.","- Include joint photograph of applicant.
- Provide survey plan of the proposed land. Submit engineering layout and project report.
- Include Form 1 & Form 14 of proposed land.
- Attach NOC from local Panchayat.
- Provide ownership/lease document.
- Include 15-year residence certificate in Goa.
- Submit Crab Farming training certificate 
",Schemes
"Agriculture,Rural & Environment",National Mission on Natural Farming,"Creating institutional capacities for documentation and dissemination of best practices, make practicing farmers as partners in promotion strategy, ensure capacity building and continuous handholding and finally attracting farmers to the natural farming willingly on the merit of the system.","- Eliminates health risks with no synthetic chemicals, providing nutrient-dense food.
- Improves soil biology, agrobiodiversity, and water efficiency with lower environmental footprints.
- Aims for viable farming,cost reduction, reduced risks.
- Optimizes water use with diverse crops, preventing unnecessary evaporation",The scheme is applicable to all farmers in India,"- beneficiaries contact Zila Parishad to apply.
- Zila Parishad Officer submits details and project plan to State Agriculture Department prepares action plan
- Upon approval of funds from the State, financial assistance is released to the beneficiary.","1)        Aadhaar number
2)        Land documents
3)        Caste Certificate (SC/ST only)
4)        Bank Details
5)        Photographs",https://agriculture.up.gov.in/nmnf/natural_farming/guid/NMNFGuidelines.pdf
"Agriculture,Rural & Environment",Rs 5 Lakh Insurance Cover To Farmers,"- Telangana offers Rs 5 lakh insurance coverage to farmers aged 18-60 from August 15, 2018.
- The state government pays the Rs 500 crore annual premium to LIC for around 50 lakh farmers.
- In case of a farmer's death, the family receives Rs 5 lakh compensation
- Farmers pay no premium; the state government covers the cost.","All the farmers in Telangana, who are aged between 18 and 60years, will get 5 lakh insurance coverage from 15 August 2018","All the farmers in Telangana, who are aged between 18 and 60years","If a farmer dies, The farmers successor/nominee need to go to LIC office along with legal death certificate of his/her to get the insurance coverage of 5 lakh within 10 days of the death.","Adhaar card.                              Ration card.                                 Voter ID card.
Address proof.
Medical reports.                      Domicile certificate. ","Rs 5 lakh insurance cover to Farmers | District JOGULAMBA GADWAL ,Government of Telangana | India"
Business & Entrepreneurship,Aamar Dukan On Wheels,"Aamar Dukan on Wheels is to control the price of essential commodities by avoiding the middleman. Through this scheme, the consumers will get their daily requirements of essential commodities at their doorstep at a reasonable price and shall also contribute to the removal of the unemployment problem. ","- Compliance with authorities' directives is mandatory, with potential legal consequences for lapses.
- Adherence to the operation schedule is crucial, with license cancellation for non-compliance.
- Displaying boards indicating prices is required, and beneficiaries obtain commodities as directed by authorities.","The applicant should be educated unemployed youth, permanent resident of Assam, age of 18 years and above.His name should be registered in the Employment Exchange.The minimum educational qualification will be HSLC or equivalent.","Deputy Commissioners/Sub-Divisional Officers/Principal Secretaries of all Autonomous Councils will invite applications and selection will be made on merit which includes
Educational Qualification.Past experience if any, andFinancial condition","Age proof.                                 Address proof.                          Personal Identification: Aadhaar Card, Voter ID ,Driving License. Educational Qualification.Experience certificate, if any.Photographs.",https://fcsca.assam.gov.in/how-to/apply-for-amar-dukan-on-wheels
Business & Entrepreneurship,Biponi Scheme,"- Focus on developing market infrastructure and providing financial assistance.
- Offers training for improved marketing skills, financial management, and product quality.
- Facilitates market linkages with retailers, exporters, and food processing units.
- Provides credit facilities for working capital to promote businesses.
- Targets rural and semi-urban areas for income and employment generation.","- Rs. 5,000/- stall rent assistance for in-state participation.
- Rs. 15,000/- stall rent assistance for out-of-state participation.
- DA of Rs. 50/- per stall for actual fair days within the district.
- DA of Rs. 600/- per stall for actual fair days outside the district.
- DA of Rs. 500/- per stall for actual fair days outside the State.","- Industry location must be in rural Assam.
- Existing industry with continuous operation for a minimum of 2 years.
- Own workshed for the production process is required.
- Applicant's age should be between 18 to 50 years, with no educational qualification bar.","The applicant can download the Biponi scheme application form from the link.The form Should be addressed to District Industries and Commerce Centre.


","-  one passport-size photograph,copy of industry registration,caste certificate 
- If available, include a training certificate.
- Submit a copy of a cancelled cheque with the proprietor's name printed.
- Include a quotation from the fair organization regarding rent.",https://industries.assam.gov.in/sites/default/files/Biponi_0.pdf
Business & Entrepreneurship,Incubation Scheme,"Incubation Scheme Under MSME Innovative Scheme aims to promote and support untapped creativity and to promote adoption of latest technologies in MSMEs that seek the validation of their ideas at the proof-of-concept level. The scheme also supports engagement with enablers who will advise such MSMEs in expanding the business by supporting them in design, strategy and execution.","-Up to maximum of ₹ 15,000,00 /-per idea shall be provided to HI for developing and nurturing the ideas.                                       -Up to ₹ 1,00,000,00 /- (max) shall be provided to HI for procurement and installation of relevant plant and machines including hardware and software etc. in BI for R&D activities and common facilities for incubatees of BI.

","Institutions such as Technical Colleges, Universities, other Professional Colleges/Institutes, R&D Institutes, NGOs involved in incubation activities, MSME-DIs/ Technology Centres or any Institute/Organization of Central/State Government.","-the official website  click on REGISTRATION button.                                  -After successful login, the HI/BI dashboard will be open. HI/BI application will be open by clicking on Apply for HI/BI Approval button. After clicking on button Apply button will be displayed.
- After click on Apply button, HI/BI application window will be display, fill all the detail and click on Final Submit
","University Affliation                           All India Council for Technical Education (AICTE) Approval      National Accreditation Board for Testing and Calibration Laboratories (NABL) or Other Accreditation        Last two years audited annual accounts with auditor’s report


",INCUBATION SCHEME
Business & Entrepreneurship,Gatidhara Scheme,"- Seeks to employ registered unemployed youth in the transport sector.
- Targets families with a monthly income of ₹25,000 or less for financial support.
- Eligible candidates determined through transport department interviews.
- Aims to generate self-employment in urban and rural areas by promoting transport services.","Under the scheme, the subsidy @ 30% of the ex-showroom price of the vehicle subject to a maximum of ₹1,00,000/- will be provided to the beneficiary for purchasing any commercial vehicle.","- Applicant must be a permanent resident of West Bengal.
- Enrollment in the Employment Bank of Labour Department, GOWB, is a prerequisite.
- Applicant's age should be between 25 to 45 years, with a relaxation of 5 years for SC/ST and 3 years for OBC. Family income should be less than ₹25,000 per month.
"," -Applicant should get his application with all requisite documents processed by the dealer of his choice.
-Select a financier for the loan required for purchasing the vehicle.
- The vehicle is to be registered within one month of receipt of the offer letter for permit and subsidy under the scheme.

","- Family Income Certificate.
- Proof of enrollment in Employment Bank.
- Proof of age.
- Proof of address.
- Identity proof.
- Bank details.
- Passport-size photograph.
- Caste certificate, if applicable.",GATIDHARA SCHEME
Business & Entrepreneurship,Financial Assistance To Disabled For Self Employment,"- Aids self-employment for unemployed persons with disabilities.
- Offers financial support for small-scale businesses and agro-projects.
- Eligibility for permanent residents of Maharashtra.
- 100% funded by the Maharashtra Government.","- Offers Financial Assistance up to ₹1,50,000.
- 80% loan provided by Nationalized Bank.
- 20% subsidy (up to ₹30,000) by Dept. of Social Justice & Special Assistance.","- Permanent resident of Maharashtra State.
- Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc).
- Disability percentage should be 40% or above.
- Age group: 18 to 50 years.
- Annual income should be less than ₹1,00,000.","- Visit District Social Welfare Office for the scheme's application form.
- Complete the form, affix signed passport-sized photo, and attach self-attested documents.
- Submit the filled form and documents to the Assistant Commissioner, District Social Welfare Office.
- Obtain a receipt/acknowledgment after submission.","- Aadhaar Card.
- Proof of Age (Birth Certificate, Class 10th/12th Marksheet, etc).
- 2 Passport-Sized Photographs (signed across).
- Residential or Domicile Certificate of Maharashtra State.
- Disability Certificate.
- Income Certificate.
- Bank Account Details ",Disability Welfare | Social Justice & Special Assistance Department
"Banking,Financial Services and Insurance",NSAP - Indira Gandhi National Old Age Pension Scheme,"- IGNOAPS targets citizens aged 60 or above living below the poverty line.
- Monthly pension: ₹200 for those up to 79 years, ₹500 for those aged 80 and above.
- Aligns with constitutional Directive Principles of State Policy, emphasizing welfare measures.
- Aims to improve livelihoods, raise living standards, and address public health and education.",A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter.,1.The applicant should be a citizen of India.                                                                                  2.The applicant should be living Below Poverty Line.                                                                  3.The applicant should be at least 60 years of age.,"- Download UMANG App or visit https://web.umang.gov.in/web_new/home
- Search for NSAP after logging in.
- Click on ""Apply Online.""
- Fill in basic details, select pension payment mode.
- Upload a photo and click ""Submit.""","1.Duly filled and self-attested Application Form 
2. Domicile Certificate.
3. Residential Proof (Voter card, Electricity Bill, Aadhar Card).
4. Age Proof (Birth Certificate issued by the last attended school, Municipal authority, SHO, or through Medical Board).
5. Aadhar Number.
6. Bank Passbook.
7. Ration Card.
8. Affidavit ","Government of India Ministry of Rural Development October,2014"
